report_id,effective_date,report_type,ag_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,20.0,17.695555555555554,16.638601504698272,19.857606271489136,15.496122762482965,21.934132296064696
2018-000016084 Velocity Minerals Ltd-f1-02822887_2-2-1,2018-09-10,PEA,18.0,17.695555555555554,16.59140851766388,19.773036999543397,15.459082467426523,21.822339431185554
2018-000002899 NGEx Resources Inc-f1-02858390_2-1-1,2018-11-20,PFS,20.0,17.378333333333334,16.34398772596971,19.46467357126297,15.216247056877698,21.457618747464213
2020-000008938 THEMAC Resources Group Limited-f1-03043389_1-1-1,2018-12-11,FS,16.0,17.378333333333334,16.34398772596971,19.46467357126297,15.216247056877698,21.457618747464213
2019-000039553 Filo Mining Corp-f1-02877026_1-1-1,2019-01-13,PFS,20.0,17.350555555555555,16.306845115913305,19.374890838807286,15.179708750345132,21.315800196133083
2019-000007910 ABCOURT MINES INC-f1-02872804_2-1-1,2019-01-15,FS,16.5,17.350555555555555,16.306845115913305,19.374890838807286,15.179708750345132,21.315800196133083
2019-000030240 Vendetta Mining Corp-f1-02885600_1-1-1,2019-01-21,PEA,16.5,17.350555555555555,16.248168362593876,19.26652876565748,15.127046601730958,21.163767407858167
2019-000017484 Almaden Minerals Ltd-f1-02866901_1-1-1,2019-01-24,FS,17.0,17.350555555555555,16.248168362593876,19.26652876565748,15.127046601730958,21.163767407858167
2019-000003093 Orvana Minerals Corp-f1-02939218_1-1-1,2019-05-14,PEA,17.0,17.355833333333333,16.097018420983005,19.093924113632834,14.96777140986725,20.961582795166898
2019-000025085 Sandspring Resources Ltd-f1-02941780_1-1-1,2019-06-11,PEA,16.0,17.113333333333337,15.975798396545656,19.02560405046956,14.82693629926415,20.926547607111956
2019-000023397 Lydian International Limited-f1-02975570_1-1-1,2019-09-16,FS,16.0,16.879444444444445,15.786092011429023,18.98707325009924,14.573696368537055,20.975658845877494
2019-000020308 Erdene Resource Development Corporation-f1-02997666_2-1-1,2019-10-15,PFS,17.5,16.907222222222224,15.71844231937564,19.006770215036624,14.470495749862392,21.04715154118436
2019-000001837 TVI Pacific Inc-f1-02976127_1-1-1,2019-10-15,FS,15.0,16.907222222222224,15.71844231937564,19.006770215036624,14.470495749862392,21.04715154118436
2019-000005643 American CuMo Mining Corporation-f1-02992459_1-1-1,2019-11-01,PEA,17.5,16.907222222222224,15.71844231937564,19.006770215036624,14.470495749862392,21.04715154118436
2020-000009025 IAMGOLD Corporation-f1-03016840_2-1-1,2019-11-06,FS,18.0,16.907222222222224,15.669930997955444,19.082676053132158,14.373226193441756,21.19871630379518
