report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2012-000006210 SILVERCORP METALS INC-f1-01856000_1-1-1,2012-01-23,,2204.62,2126.3881578759065,1777.2540732118086,2479.379209575891,1428.1199885477101,2832.370261275875
2012-000004927 LEVON RESOURCES LTD-f1-01871272_1-1-1,2012-03-12,PEA,2006.2042,2135.2182178759067,1784.6343156400683,2489.675103626193,1434.0504134042296,2844.1319893764794
2012-000001691 HudBay Minerals Inc-f1-01884181_1-1-1,2012-03-29,,2094.389,2138.0958038759068,1787.0394275292474,2493.030383270571,1435.983051182588,2847.9649626652345
2012-000030669 Ivanhoe Australia Limited-f1-01915126_1-1-1,2012-04-16,,1873.927,2138.7687698759064,1787.6018984780264,2493.815064986828,1436.435027080146,2848.8613600977496
2012-000008090 Huakan International Mining Inc-f1-01920382_1-1-1,2012-04-24,,2087.3718775181305,2141.425893875907,1789.8227462731659,2496.913284838394,1438.2195986704246,2852.400675800881
2012-000005760 Sunridge Gold Corp-f1-01923758_4-1-1,2012-05-01,PFS,2182.5738,2140.3351638759073,1788.911104469625,2495.6414882121553,1437.4870450633425,2850.947812548403
2012-000002753 CANADIAN ZINC CORPORATION-f1-01942300_1-1-1,2012-06-15,,2645.544,2136.8077718759073,1785.9628789649844,2491.5285315271626,1435.117986054062,2846.2492911784184
2012-000006210 SILVERCORP METALS INC-f1-01984618_6-1-1,2012-06-27,,2204.62,2141.217011875907,1789.6481608457848,2496.6697273834034,1438.0793098156626,2852.1224428908995
2012-000013727 MAG Silver Corp-f1-01932793_1-1-1,2012-07-01,,2006.2042,2148.7127198759067,1795.9131400431452,2505.409760339012,1443.1135602103836,2862.1068008021166
2013-000030715 Chieftain Metals Inc-f1-02009167_1-1-1,2012-12-12,,2138.4814,2148.051333875907,1812.9439588860582,2507.175088698119,1477.8365838962104,2866.298843520331
2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,1873.927,2149.5945678759063,1831.9081642807366,2511.5241054105004,1514.221760685567,2873.453642945094
2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013-01-17,FS,2204.62,2153.3424218759064,1852.6605632489961,2518.43586579591,1551.9787046220863,2883.529309715913
2013-000026723 Southeast Asia Mining Corp-f1-02065996_1-1-1,2013-03-31,,2094.389,2148.2717958759067,1871.0683620701245,2496.5848964927395,1593.8649282643423,2844.8979971095723
2013-000005760 Sunridge Gold Corp-f1-02080601_3-1-1,2013-05-16,FS,2204.62,2140.3351638759063,1887.0340996022048,2471.424967598855,1633.733035328503,2802.514771321803
2013-000023995 Arian Silver Corporation-f1-02065398_1-1-1,2013-05-23,,1984.158,2142.1914539159065,1893.6877321299175,2455.0862501012502,1645.1840103439288,2767.9810462865944
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,2072.3428,2143.0156051807253,1899.4499437226539,2437.487329666504,1655.8842822645825,2731.9590541522825
2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013-08-06,PFS,2998.2832,2142.296522445544,1903.8252128077147,2418.2035025136515,1665.3539031698851,2694.1104825817592
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,2094.389,2136.9477377103626,1899.0718319708292,2412.1658462670543,1661.1959262312957,2687.3839548237465
2013-000022850 Alexco Resource Corp-f1-02146314_2-1-1,2013-11-15,,1873.927,2130.7171049751814,1893.534766691256,2405.1327685650513,1656.3524284073308,2679.54843215492
2013-000016057 Tamerlane Ventures Inc-f1-02146900_2-1-1,2013-12-13,OTHER,2094.389,2124.8348022,1888.099513843502,2400.542598785747,1651.3642254870042,2676.250395371494
2014-000010711 DNI Metals Inc-f1-02155474_1-1-1,2014-01-17,PEA,2072.3428,2112.7093922000004,1876.9087998390012,2390.950715136581,1641.1082074780024,2669.192038073162
2014-000003827 Wildcat Silver Corporation-f1-02155649_1-1-1,2014-01-17,PFS,2028.2504,2112.7093922000004,1876.9087998390012,2390.950715136581,1641.1082074780024,2669.192038073162
2014-000004588 Continental Precious Minerals Inc-f1-02168893_1-1-1,2014-02-06,PEA,2006.2042,2110.2843101999997,1874.5472234841786,2390.250207983153,1638.8101367683569,2670.2161057663047
2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2014-03-03,PEA,2037.509804,2110.7252342,1874.7320804074195,2392.790159975993,1638.7389266148384,2674.855085751986
2014-000011649 InZinc Mining Ltd-f1-02204980_1-1-1,2014-03-17,PEA,2204.62,2109.1820002000004,1873.3613902576558,2391.0406972463547,1637.5407803153114,2672.899394292709
2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,1895.9732,2109.1820002000004,1873.3613902576558,2391.0406972463547,1637.5407803153114,2672.899394292709
2014-000002470 Fortune Minerals Limited-f1-02236003_2-1-1,2014-04-18,,2204.62,2110.5047722000004,1874.536267528882,2392.5402367289016,1638.5677628577632,2674.575701257804
2014-000025411 Xtierra Inc-f1-02198936_1-1-1,2014-04-28,,2028.2504,2097.6314659972027,1863.1022827883528,2377.9466174793138,1628.5730995795025,2658.2617689614253
2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014-05-13,,2204.62,2081.4512297944048,1848.7311048697586,2359.6041495233576,1616.010979945112,2637.7570692523104
2014-000000204 GoldQuest Mining Corp-f1-02232713_1-1-1,2014-05-27,,2094.389,2068.577923591607,1837.297120129229,2345.0105302737693,1606.0163166668513,2621.443136955932
2014-000001767 Dundee Precious Metals Inc-f1-02266641_3-1-1,2014-09-30,,1873.927,2055.7046173888093,1825.630797788066,2357.555173866588,1595.556978187323,2659.405730344367
2014-000029868 Tahoe Resources Inc-f1-02274600_1-1-1,2014-11-05,,1984.158,2043.0551111860113,1814.1623763763146,2370.4559324762176,1585.2696415666178,2697.8567537664235
2014-000022850 Alexco Resource Corp-f1-02296485_1-1-1,2014-11-15,,2204.62,2048.7904611860113,1819.0221368662928,2404.3297743744474,1589.2538125465742,2759.869087562883
2015-000029300 Rathdowney Resources Ltd-f1-02337292_2-2-1,2015-02-11,,2204.62,2058.714589186012,1827.6012172462456,2443.083540829142,1596.48784530648,2827.4524924722723
2015-000028681 Golden Minerals Company-f1-02327135_1-1-1,2015-02-20,,2094.389,2071.4121291460115,1838.6401767442244,2485.383957212973,1605.868224342437,2899.3557852799345
2015-000003353 Excellon Resources Inc-f1-02361109_1-2-1,2015-07-09,,2204.62,2080.8027391060114,1844.67773180925,2489.455186275043,1608.552724512488,2898.1076334440745
2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,1358.213379720229,2093.937865066012,1850.3667120836594,2492.6833913396395,1606.7955591013074,2891.4289176132684
2016-000012585 Americas Silver Corporation-f1-02478065_1-1-1,2016-03-18,,1873.927,2106.6320670260116,1855.642614105644,2495.3369976321474,1604.6531611852763,2884.041928238283
2016-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02500830_2-1-1,2016-04-28,,2204.62,2120.6490409860116,1862.0461382776866,2499.480111796523,1603.4432355693618,2878.3111826070344
2016-000018190 Chesapeake Gold Corp-f1-02451974_1-2-1,2016-04-29,PFS,2204.62,2130.790292986012,1864.9784656567433,2498.907860630341,1599.166638327475,2867.025428274671
2016-000033595 Ivanhoe Mines Ltd-f1-02490485_3-1-1,2016-05-12,,2227.0,2148.647714986012,1876.9801594344594,2514.6272509704263,1605.3126038829064,2880.606786954841
2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,2226.6662,2170.144078986012,1893.228476664935,2533.529248268387,1616.3128743438585,2896.914417550762
2017-000002178 Silver Standard Resources Inc-f1-02636395_1-1-1,2016-12-31,PFS,2204.62,2193.635628986012,1911.1996433771187,2554.716642638665,1628.7636577682251,2915.797656291318
2017-000022850 Alexco Resource Corp-f1-02603259_1-1-1,2017-01-03,,2645.544,2215.1430209860123,1927.4300185472493,2573.563364049611,1639.7170161084864,2931.9837071132097
2017-000020943 Strongbow Exploration Inc-f1-02585313_1-2-1,2017-02-16,,1984.158,2239.9573429860116,1946.5179420167915,2596.202981314315,1653.078541047571,2952.448619642618
