,report_id,effective_date,report_type,pb_price_usd_dmt,reported_lead_price_rolling_40_mean,reported_lead_price_rolling_40_std,reported_lead_price_upper_1STD,reported_lead_price_lower_1STD,reported_lead_price_upper_2STD,reported_lead_price_lower_2STD
49,2017-000002178 Silver Standard Resources Inc-f1-02636395_1-1-1,2016-12-31,PFS,2094.389,2006.7522336940615,518.252274351715,2525.0045080457767,1488.4999593423465,3043.2567823974914,970.2476849906316
50,2017-000022850 Alexco Resource Corp-f1-02603259_1-1-1,2017-01-03,,2072.3428,2011.7126286940616,517.8977904780176,2529.610419172079,1493.8148382160439,3047.5082096500964,975.9170477380264
51,2017-000003827 Arizona Mining Inc-f1-02611788_1-1-1,2017-03-29,,2204.62,2003.4453036940617,511.9302008829118,2515.3755045769735,1491.51510281115,3027.3057054598853,979.5849019282382
52,2017-000005029 Darnley Bay Resources Limited-f1-02636784_2-1-1,2017-04-18,PEA,2204.62,2010.6103186940618,512.7089659855911,2523.319284679653,1497.9013527084708,3036.028250665244,985.1923867228795
53,2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,2072.3428,2012.8149386940618,512.7818956659706,2525.5968343600325,1500.033043028091,3038.378730026003,987.2511473621205
54,2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,2072.3428,2003.9964586940619,508.52563259506115,2512.522091289123,1495.4708260990008,3021.047723884184,986.9451935039395
55,2017-000002068 SOLITARIO ZINC CORP-f1-02657439_1-1-1,2017-07-13,,2204.62,2012.2637836940617,509.0446616841733,2521.308445378235,1503.2191220098885,3030.3531070624085,994.174460325715
56,2017-000043521 VM Holding S.A-f1-02677003_1-3-2,2017-07-25,PEA,2234.64,2013.0142836940618,509.3575635327821,2522.371847226844,1503.6567201612797,3031.729410759626,994.2991566284976
57,2017-000043521 VM Holding S.A-f1-02677003_1-1-6,2017-07-26,,1933.0,2008.428403694062,509.22830408183904,2517.656707775901,1499.2000996122229,3026.88501185774,989.9717955303838
58,2017-000002154 Karmin Exploration Inc-f1-02684450_2-1-1,2017-07-31,,1940.0656,2056.930043694062,391.90585009801356,2448.8358937920757,1665.0241935960485,2840.7417438900893,1273.1183434980348
59,2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02805626_4-1-1,2017-07-31,,2226.6662,2058.19179337577,392.38063288581566,2450.572426261586,1665.8111604899543,2842.9530591474013,1273.4305276041387
60,2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02728178_1-1-1,2017-08-31,,2050.2966,2043.3106083757702,380.6459292342957,2423.956537610066,1662.6646791414746,2804.6024668443615,1282.018749907179
61,2018-000043280 Steppe Gold Ltd-f1-02689951_1-27-1,2017-09-06,FS,1844.0,2034.2951083757703,380.99782768873683,2415.292936064507,1653.2972806870334,2796.290763753244,1272.2994529982966
62,2017-000013727 MAG Silver Corp-f1-02710844_1-1-1,2017-10-21,,2094.389,2034.29510837577,380.99782768873683,2415.2929360645066,1653.2972806870332,2796.2907637532435,1272.2994529982964
63,2018-000003827 Arizona Mining Inc-f1-02718639_1-1-1,2018-01-01,,2204.62,2089.4106083757697,191.50950238010466,2280.9201107558742,1897.9011059956651,2472.429613135979,1706.3916036155604
64,"2018-000014867 LeadFX Inc. (, Ivernia Inc.)-f1-02756317_1-1-1",2018-02-28,FS,2250.0,2089.99395337577,191.9732843451106,2281.967237720881,1898.0206690306595,2473.9405220659914,1706.0473846855489
65,2018-000031478 Lupaka Gold Corp-f1-02756702_1-1-1,2018-03-01,,2314.851,2101.01705337577,191.9075196559051,2292.924573031675,1909.1095337198649,2484.8320926875804,1717.2020140639597
66,2018-000005208 Telson Mining Corporation-f1-02753739_1-1-1,2018-03-30,,2346.4,2110.07310337577,194.77716514353935,2304.8502685193093,1915.2959382322308,2499.627433662849,1720.5187730886914
67,2018-000003353 Excellon Resources Inc-f1-02820544_1-1-1,2018-03-31,,2425.082,2123.30082337577,197.80724570378302,2321.108069079553,1925.493577671987,2518.9153147833363,1727.686331968204
68,2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,2425.082,2128.81237337577,203.13091234191657,2331.9432857176866,1925.6814610338536,2535.0741980596035,1722.5505486919371
69,2018-000023055 Rockhaven Resources Ltd-f1-02802389_1-1-1,2018-06-05,PEA,1763.696,2123.30082337577,210.03018863839762,2333.3310120141678,1913.2706347373723,2543.3612006525655,1703.2404460989749
70,2018-000003467 Aurcana Corporation-f1-02825402_2-1-1,2018-06-15,,2204.62,2123.30082337577,210.03018863839762,2333.3310120141678,1913.2706347373723,2543.3612006525655,1703.2404460989749
71,2018-000008846 Great Panther Silver Limited-f1-02795635_3-1-1,2018-07-13,,2425.082,2128.2612183757697,214.82239427367813,2343.083612649448,1913.4388241020915,2557.906006923126,1698.6164298284134
