,report_id,effective_date,report_type,au_price_usd_troy_oz,reported_gold_price_rolling_40_mean,reported_gold_price_rolling_40_std,reported_gold_price_upper_1STD,reported_gold_price_lower_1STD,reported_gold_price_upper_2STD,reported_gold_price_lower_2STD
110,2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,767.72,720.9591440732413,141.02549652457625,861.9846405978176,579.933647548665,1003.0101371223939,438.9081510240888
111,2009-000009161 Silver Wheaton Corp-f1-01475484_2-1-1,2009-09-09,FS,800.0,723.4591440732413,141.5298833458294,864.9890274190707,581.9292607274119,1006.5189107649,440.3993773815825
112,2009-000005815 Norsemont Mining Inc-f1-01483747_1-1-1,2009-09-28,FS,800.0,723.4591440732413,141.5298833458294,864.9890274190707,581.9292607274119,1006.5189107649,440.3993773815825
113,2009-000008808 Aura Minerals Inc-f1-01483612_5-1-1,2009-09-30,PEA,800.0,725.9591440732413,141.9873394952676,867.9464835685089,583.9718045779737,1009.9338230637766,441.9844650827061
114,2009-000013309 La Mancha Resources Inc-f1-01490723_4-1-1,2009-10-01,FS,1101.6404999999995,732.8751565732412,153.22766030281227,886.1028168760535,579.6474962704289,1039.3304771788657,426.4198359676166
115,2009-000003295 Tri Origin Exploration Ltd-f1-01495592_1-1-1,2009-10-09,MRE,570.0,727.7501565732412,155.19822796603654,882.9483845392776,572.5519286072047,1038.1466125053144,417.3537006411681
116,2009-000003277 Atna Resources Ltd-f1-01487615_2-1-1,2009-10-16,MRE,810.0,733.0001565732412,154.31532343502136,887.3154800082625,578.6848331382198,1041.6308034432839,424.36950970319845
117,2009-000001640 IMPACT Silver Corp-f1-01501206_1-1-1,2009-11-10,MRE,975.0,739.8751565732412,158.8661613540985,898.7413179273397,581.0089952191427,1057.6074792814381,422.14283386504417
118,2009-000029380 PERSEUS MINING LIMITED-f1-01519387_1-2-2,2009-11-30,FS,850.0,745.0634797341793,158.99219706116492,904.0556767953442,586.0712826730144,1063.047873856509,427.07908561184945
119,2009-000004771 0373849 B.C. Ltd-f1-01518222_1-1-1,2009-12-14,PFS,850.0,745.0634797341793,158.99219706116492,904.0556767953442,586.0712826730144,1063.047873856509,427.07908561184945
120,2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,975.0,755.3845125,160.2096321126971,915.5941446126972,595.1748803873029,1075.8037767253943,434.9652482746058
121,2010-000004818 New Gold Inc-f1-01544679_1-1-1,2009-12-31,,800.0,756.6345125,160.36152836443677,916.9960408644367,596.2729841355633,1077.3575692288737,435.9114557711265
122,2010-000005801 Exeter Resource Corporation-f1-01533775_1-1-1,2009-12-31,MRE,800.0,759.1345125,160.2354092638146,919.3699217638147,598.8991032361854,1079.6053310276293,438.6636939723708
123,2010-000002968 Kinross Gold Corporation-f1-01528409_1-1-1,2009-12-31,,875.0,761.8845125,161.27917952211556,923.1636920221156,600.6053329778845,1084.4428715442311,439.3261534557689
124,2010-000003272 Société d_exploration minière Vior Inc-f1-01528825_1-1-1,2010-01-22,,886.18509292968,766.552139823242,162.1263212363291,928.6784610595711,604.4258185869129,1090.8047822959002,442.2994973505838
125,2010-000003165 Nayarit Gold Inc-f1-01537159_1-1-1,2010-02-01,,900.0,769.052139823242,163.4211477309816,932.4732875542236,605.6309920922604,1095.8944352852052,442.2098443612788
126,2010-000021049 Wescan Goldfields Inc-f1-01546365_1-1-1,2010-02-04,,1000.0,772.802139823242,167.00792607904822,939.8100659022903,605.7942137441937,1106.8179919813383,438.78628766514555
127,2010-000002968 Kinross Gold Corporation-f1-01592433_2-2-1,2010-02-18,FS,800.0,774.052139823242,167.0199998444409,941.0721396676829,607.0321399788011,1108.0921395121238,440.0121401343602
128,2010-000026289 Dagilev Capital Corp-f1-01563348_1-1-1,2010-02-25,MRE,1000.0,776.552139823242,169.6807791427242,946.2329189659662,606.8713606805178,1115.9136981086904,437.1905815377936
129,2010-000016244 Mandalay Resources Corporation-f1-01582539_3-1-1,2010-03-01,,1000.0,783.427139823242,173.0756321785373,956.5027720017792,610.3515076447047,1129.5784041803165,437.2758754661674
130,2010-000006065 Victoria Gold Corp. ( Victoria Resource Corporation)-f1-01549183_1-1-1,2010-03-05,,900.0,783.427139823242,173.0756321785373,956.5027720017792,610.3515076447047,1129.5784041803165,437.2758754661674
131,2010-000005801 Exeter Resource Corporation-f1-01563980_2-1-1,2010-03-12,MRE,950.0,789.677139823242,174.49382722124508,964.170967044487,615.1833126019969,1138.664794265732,440.6894853807518
132,2010-000003273 Osisko Mining Corporation-f1-01549677_1-1-1,2010-03-22,MRE,825.0,801.552139823242,159.3067373438305,960.8588771670725,642.2454024794115,1120.165614510903,482.938665135581
133,2010-000002549 Ivanhoe Mines Ltd-f1-01559123_1-1-1,2010-03-30,OTHER,400.0,790.302139823242,171.23991655159037,961.5420563748323,619.0622232716516,1132.7819729264227,447.82230672006125
134,2010-000008502 Entree Gold Inc-f1-01595887_2-1-1,2010-03-30,PFS,850.0,793.227139823242,171.23528018973246,964.4624200129745,621.9918596335096,1135.697700202707,450.7565794437771
135,2010-000006221 Fortuna Silver Mines Inc-f1-01595645_1-1-1,2010-03-31,,897.51,796.914889823242,171.86769474574436,968.7825845689863,625.0471950774977,1140.6502793147306,453.1795003317533
136,2010-000003181 Inmet Mining Corporation-f1-01555466_1-2-1,2010-03-31,FS,885.0,809.039889823242,159.83473895236799,968.87462877561,649.205150870874,1128.709367727978,489.370411918506
137,2010-000011539 Alexis Minerals Corporation-f1-01571168_1-1-1,2010-04-01,PEA,1063.0,818.614889823242,163.33980834823518,981.9546981714773,655.2750814750068,1145.2945065197123,491.9352731267717
138,2010-000029807 Minera IRL Limited-f1-01570446_1-1-2,2010-04-06,,850.0,821.739889823242,162.69733416271242,984.4372239859545,659.0425556605296,1147.1345581486669,496.3452214978172
139,2010-000005710 Fortune River Resource Corp-f1-01586604_1-1-1,2010-04-13,PEA,850.0,827.6513898232421,159.1967083168003,986.8480981400423,668.4546815064418,1146.0448064568427,509.25797318964146
140,2010-000014169 Rusoro Mining Ltd-f1-01579192_1-1-1,2010-04-21,PFS,950.0,833.9013898232421,158.96394452554088,992.865334348783,674.9374452977012,1151.8292788743238,515.9735007721604
141,2010-000018939 Carpathian Gold Inc-f1-01585312_1-1-1,2010-04-23,PEA,900.0,837.6513898232421,158.7029941519271,996.3543839751692,678.948395671315,1155.0573781270964,520.2454015193879
