id,report_id,effective_date,report_type,cu_price_usd_dmt,reported_copper_price_rolling_40_mean,reported_copper_price_rolling_40_std,reported_copper_price_upper_1STD,reported_copper_price_lower_1STD,reported_copper_price_upper_2STD,reported_copper_price_lower_2STD
165,2013-000005673 Bellhaven Copper & Gold Inc-f1-02129085_1-1-1,2013-09-01,PEA,7165.014999999999,6761.682435470961,1375.000272416552,8136.682707887512,5386.682163054409,9511.682980304064,4011.6818906378567
166,2013-000008633 Los Andes Copper Ltd-f1-02146428_1-1-1,2013-09-09,PEA,6062.705,6761.682435470959,1375.000272416552,8136.68270788751,5386.682163054407,9511.682980304064,4011.681890637855
167,"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,8157.094,6778.21708547096,1387.9688936115024,8166.185979082463,5390.248191859458,9554.154872693965,4002.2792982479555
168,2013-000006220 International Enexco Limited-f1-02119941_1-1-1,2013-10-01,PFS,7054.784,6761.682435470961,1380.4277127779217,8142.110148248882,5381.254722693039,9522.537861026804,4000.8270099151173
169,2013-000005717 Belvedere Resources Ltd-f1-02118272_1-1-1,2013-10-02,PEA,6000.0,6730.90359547096,1383.4137414059078,8114.317336876868,5347.489854065052,9497.731078282775,3964.076112659144
170,2013-000008938 THEMAC Resources Group Limited-f1-02135989_1-1-1,2013-10-07,FS,6613.86,6706.70009547096,1376.593820821798,8083.293916292758,5330.1062746491625,9459.887737114557,3953.512453827364
171,2013-000033595 Ivanhoe Mines Ltd-f1-02141851_1-1-1,2013-11-15,PEA,6613.86,6691.267755470961,1374.0213568457834,8065.289112316745,5317.246398625177,9439.310469162527,3943.225041779394
172,2014-000005967 Amerigo Resources Ltd-f1-02196760_1-1-1,2013-12-31,PEA,6503.629,6648.069201477199,1351.3287098098567,7999.397911287057,5296.740491667342,9350.726621096914,3945.411781857486
173,2014-000005689 Capstone Mining Corp-f1-02202859_1-1-1,2014-01-01,PFS,6062.705,6634.2903264772,1354.4927016997083,7988.783028176908,5279.797624777492,9343.275729876617,3925.3049230777838
174,2014-000003827 Wildcat Silver Corporation-f1-02155649_1-1-1,2014-01-17,PFS,7165.014999999999,6623.2672264772,1348.1618622323688,7971.4290887095685,5275.105364244831,9319.590950941938,3926.9435020124624
175,2014-000010711 DNI Metals Inc-f1-02155474_1-1-1,2014-01-17,PEA,8024.8168,6658.5411464772,1366.2465764442654,8024.787722921465,5292.294570032935,9391.03429936573,3926.0479935886688
176,2014-000004588 Continental Precious Minerals Inc-f1-02168893_1-1-1,2014-02-06,PEA,8024.8168,6854.2011714772,897.2998591511356,7751.501030628336,5956.901312326064,8648.800889779472,5059.601453174929
177,2014-000015722 Platinum Group Metals Ltd-f1-02175498_1-1-1,2014-02-14,,7892.5396,6902.702811477199,899.7388921683461,7802.441703645545,6002.963919308853,8702.180595813892,5103.225027140507
178,2014-000011649 InZinc Mining Ltd-f1-02204980_1-1-1,2014-03-17,PEA,6613.86,6875.145061477199,891.0235688365831,7766.168630313782,5984.121492640616,8657.192199150366,5093.097923804033
179,2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,6746.1372,6880.1054564771985,889.705361228555,7769.810817705754,5990.400095248643,8659.51617893431,5100.694734020089
180,2014-000002470 Fortune Minerals Limited-f1-02205231_1-1-1,2014-04-02,FS,5246.995599999999,6850.8942414772,923.8777735639738,7774.772015041174,5927.016467913226,8698.649788605147,5003.138694349253
181,2014-000009674 Mustang Minerals Corp-f1-02213716_1-1-1,2014-04-30,PEA,7495.708,6839.8711414772,913.1595394140073,7753.030680891207,5926.711602063192,8666.190220305214,5013.552062649185
182,2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014-05-13,,6613.86,6848.1384664772,909.4797191310494,7757.618185608249,5938.658747346151,8667.0979047393,5029.179028215101
183,2014-000005689 Capstone Mining Corp-f1-02231705_2-1-1,2014-05-22,FS,6283.167,6839.8711414772,913.1595394140073,7753.030680891207,5926.711602063192,8666.190220305214,5013.552062649185
184,2014-000028675 Discovery Ventures Inc-f1-02215154_1-1-1,2014-05-26,,6071.103359647513,6842.836875468386,910.3920235478505,7753.228899016237,5932.444851920535,8663.620922564087,5022.052828372685
185,2014-000000204 GoldQuest Mining Corp-f1-02232713_1-1-1,2014-05-27,,7165.014999999999,6856.615750468387,911.0082589006036,7767.62400936899,5945.607491567784,8678.632268269594,5034.59923266718
186,"2014-000023134 General Moly, Inc-f1-02238615_2-1-1",2014-07-25,PFS,7165.014999999999,6953.067875468388,706.9295568752912,7659.997432343679,6246.138318593096,8366.92698921897,5539.208761717806
187,2014-000008483 Alacer Gold Corp-f1-02237181_1-1-1,2014-07-29,FS,7253.199799999999,6960.647870468388,708.5195479681574,7669.167418436546,6252.12832250023,8377.686966404703,5543.608774532073
188,2014-000023735 Duluth Metals Limited-f1-02265653_2-1-1,2014-08-20,,7716.17,6988.205620468388,716.0821597678284,7704.287780236216,6272.123460700559,8420.369940004044,5556.041300932731
189,2014-000023934 Intrepid Mines Limited-f1-02266751_1-1-1,2014-09-25,,7716.17,7002.453468523492,724.9227167617097,7727.376185285202,6277.530751761782,8452.298902046912,5552.608035000073
190,2014-000001767 Dundee Precious Metals Inc-f1-02266641_3-1-1,2014-09-30,,6062.705,6954.502983523492,721.983522684003,7676.486506207495,6232.519460839489,8398.470028891497,5510.535938155486
191,2014-000031165 Mawson West Limited-f1-02295404_1-1-1,2014-11-30,FS,7100.0,6939.098733523492,711.817629610601,7650.916363134093,6227.281103912891,8362.733992744694,5515.463474302291
192,2015-000004264 Global Minerals Ltd-f1-02302451_1-1-1,2014-12-12,,6613.86,6938.547578523493,712.06690022922,7650.614478752713,6226.480678294273,8362.681378981933,5514.413778065053
193,2015-000031453 Pilot Gold Inc-f1-02308581_1-1-1,2014-12-20,PEA,6393.397999999999,6933.036028523493,715.4894773843367,7648.52550590783,6217.546551139156,8364.014983292167,5502.05707375482
194,2015-000024464 Wellgreen Platinum Ltd-f1-02304935_1-2-1,2015-02-02,PEA,6613.86,6896.659798523493,692.8909850393675,7589.5507835628605,6203.7688134841255,8282.441768602228,5510.877828444758
195,2015-000023269 INV Metals Inc-f1-02322965_1-1-1,2015-03-20,,6613.86,6910.438673523492,681.2642770655104,7591.702950589002,6229.174396457982,8272.967227654513,5547.910119392471
196,2015-000019503 Panoro Minerals Ltd-f1-02354457_1-1-1,2015-05-01,PEA,7165.014999999999,6902.171348523492,675.9656827884753,7578.137031311968,6226.205665735017,8254.102714100443,5550.239982946541
