,report_id,effective_date,report_type,cad_rate,reported_CAD_RATE_rolling_40_mean,reported_CAD_RATE_rolling_40_std,reported_CAD_RATE_upper_1STD,reported_CAD_RATE_lower_1STD,reported_CAD_RATE_upper_2STD,reported_CAD_RATE_lower_2STD
252,2015-000025037 Eagle Hill Exploration Corporation-f1-02362821_1-1-1,2015-04-28,,1.1628,1.0882675,0.0482496360422029,1.1365171360422028,1.040017863957797,1.1847667720844057,0.9917682279155942
253,2015-000027965 Ecuador Gold and Copper Corp-f1-02358631_1-1-1,2015-05-19,PEA,1.1048,1.0896375,0.04791202240592184,1.1375495224059218,1.0417254775940783,1.1854615448118437,0.9938134551881563
254,2015-000005733 Sabina Gold & Silver Corp-f1-02366270_1-1-1,2015-05-20,FS,1.1494,1.0920575000000001,0.04843511063585594,1.1404926106358562,1.043622389364144,1.188927721271712,0.9951872787282883
255,2015-000037240 TMAC Resources Inc-f1-02359475_1-1-1,2015-05-28,,1.1765,1.0952199999999999,0.04973109330213393,1.1449510933021338,1.0454889066978659,1.1946821866042678,0.995757813395732
256,2015-000026119 B2Gold Corp-f1-02375336_2-1-1,2015-06-30,FS,1.25,1.10022,0.054857877914030496,1.1550778779140305,1.0453621220859695,1.209935755828061,0.9905042441719389
257,2015-000005672 Atlantic Gold Corporation (previously Spur Ventures Inc.)-f1-02383572_3-1-1,2015-07-02,FS,1.25,1.1036925,0.059742916702766935,1.163435416702767,1.043949583297233,1.2231783334055337,0.9842066665944661
258,2015-000026672 Western Potash Corp-f1-02384196_1-1-1,2015-07-02,,1.22,1.1079425,0.06183548847235933,1.1697779884723594,1.0461070115276407,1.2316134769447187,0.9842715230552814
259,2015-000030647 Zenyatta Ventures Ltd-f1-02372294_1-1-1,2015-07-09,PEA,1.2195,1.112115,0.06361087050303386,1.1757258705030338,1.0485041294969661,1.2393367410060676,0.9848932589939322
260,2015-000000162 Gowest Gold Ltd-f1-02372897_1-1-1,2015-07-15,,1.25,1.118365,0.06458692631858204,1.1829519263185821,1.053778073681418,1.247538852637164,0.989191147362836
261,2015-000024152 Premier Gold Mines Limited-f1-02374821_2-1-1,2015-07-15,FS,1.1,1.117455,0.06458273544801747,1.1820377354480176,1.0528722645519826,1.2466204708960351,0.9882895291039652
262,2015-000024909 Rambler Metals and Mining plc-f1-02396630_1-1-1,2015-07-20,,1.1364,1.1180875000000001,0.06464276264842343,1.1827302626484235,1.0534447373515767,1.247373025296847,0.9888019747031532
263,2015-000025718 First Bauxite Corporation-f1-02378841_1-1-1,2015-08-04,FS,1.248,1.1215125000000001,0.06780942067331926,1.1893219206733194,1.0537030793266808,1.2571313413466387,0.9858936586533616
264,2015-000005733 Sabina Gold & Silver Corp-f1-02409333_2-1-1,2015-09-14,FS,1.0,1.118735,0.07047001016981073,1.1892050101698108,1.0482649898301892,1.2596750203396214,0.9777949796603785
265,2015-000010461 Rockex Mining Corporation ( Enviropave International Ltd.)-f1-02407947_1-1-1,2015-10-26,PEA,1.1765,1.1203699999999999,0.07104466706198723,1.1914146670619872,1.0493253329380126,1.2624593341239743,0.9782806658760255
266,2016-000002429 Radisson Mining Resources Inc-f1-02439942_1-2-1,2015-11-29,,1.25,1.1238424999999999,0.07391646666928614,1.197758966669286,1.0499260333307137,1.2716754333385722,0.9760095666614276
267,2016-000016002 Gold Reach Resources Ltd-f1-02457915_1-1-1,2016-01-01,PEA,1.25,1.1287775,0.07560833113605525,1.2043858311360554,1.0531691688639446,1.2799941622721105,0.9775608377278895
268,2016-000022947 Kaminak Gold Corporation-f1-02434651_1-2-1,2016-01-06,FS,1.1494,1.1300124999999999,0.07552963482752569,1.2055421348275255,1.0544828651724742,1.2810717696550513,0.9789532303449485
269,2016-000023396 Plateau Uranium Inc-f1-02438046_1-2-1,2016-01-12,PEA,1.2611,1.1337625,0.07824158081192258,1.2120040808119226,1.0555209191880774,1.2902456616238451,0.9772793383761549
270,2016-000002894 Abacus Mining & Exploration Corporation-f1-02446208_1-1-1,2016-02-19,FS,1.2,1.1365875,0.07854926655062362,1.2151367665506236,1.0580382334493765,1.2936860331012474,0.9794889668987529
271,2016-000037284 Continental Gold Inc-f1-02446260_1-2-1,2016-02-24,,1.3333,1.1424475,0.08420539293131908,1.2266528929313192,1.058242107068681,1.3108582858626383,0.9740367141373619
272,2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,1.3333,1.1481474999999999,0.08919533731489467,1.2373428373148945,1.0589521626851053,1.3265381746297893,0.9697568253702106
273,2016-000033407 Benton Resources Inc-f1-02472165_1-1-1,2016-03-07,PEA,1.25,1.1521474999999999,0.09010383180758824,1.242251331807588,1.0620436681924117,1.3323551636151763,0.9719398363848234
274,2016-000002563 SEMAFO INC-f1-02459263_1-1-1,2016-03-23,FS,1.39,1.1597225,0.09696202134512887,1.2566845213451288,1.0627604786548712,1.3536465426902577,0.9657984573097422
275,2016-000022162 Golden Dawn Minerals Inc-f1-02487437_2-1-1,2016-03-24,,1.2048,1.1635275,0.09562766198741544,1.2591551619874155,1.0678998380125846,1.354782823974831,0.9722721760251691
276,2016-000008288 Denison Mines Corp-f1-02484220_1-1-1,2016-03-31,,1.35,1.1712775,0.09789473542718666,1.2691722354271866,1.0733827645728133,1.3670669708543732,0.9754880291456267
277,2016-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02500830_2-1-1,2016-04-28,,1.3333,1.1768325,0.10065776337135145,1.2774902633713514,1.0761747366286485,1.3781480267427029,0.975516973257297
278,2016-000014472 ATAC Resources Ltd-f1-02507566_1-1-1,2016-05-31,PEA,1.2821,1.1818849999999999,0.10074479448281447,1.2826297944828142,1.0811402055171855,1.3833745889656288,0.9803954110343709
