date,lead_price,lead_price_quarterly,lead_price_yearly,lead_price_5y,lead_price_3y,lead_price_price_floor,lead_price_floor_spot_3y,lead_price_floor_spot_5y
2013-03-01,2173.35,2291.201136363637,2113.1764143870055,2054.118153896214,2210.61968123789,2054.118153896214,2173.35,2054.118153896214
2013-04-01,2024.36904761905,2187.835515873017,2109.0701069517504,2040.6097213565315,2203.736877005086,2024.36904761905,2024.36904761905,2024.36904761905
2013-05-01,2031.89285714286,2076.5373015873033,2111.790345046989,2037.539810642246,2208.0453043233815,2031.89285714286,2031.89285714286,2031.89285714286
2013-06-01,2099.6875,2051.9831349206365,2132.5178121522526,2041.526070562881,2218.9453990203515,2041.526070562881,2099.6875,2041.526070562881
2013-07-01,2047.72826086957,2059.7695393374765,2146.3720611641106,2042.9874836063593,2224.6054643475363,2042.9874836063593,2047.72826086957,2042.9874836063593
2013-08-01,2173.08333333333,2106.833031400967,2169.314611669161,2047.491372495248,2227.1134008554727,2047.491372495248,2173.08333333333,2047.491372495248
2013-09-01,2084.91904761905,2101.91021394065,2161.5849489707484,2051.0349096525356,2224.115255713578,2051.0349096525356,2084.91904761905,2051.0349096525356
2013-10-01,2115.42826086957,2124.4768806073166,2159.37335476785,2061.3876995076075,2216.667495764187,2061.3876995076075,2115.42826086957,2061.3876995076075
2013-11-01,2089.55952380952,2096.6356107660467,2151.6728226610676,2074.773274904433,2209.0170027386944,2074.773274904433,2089.55952380952,2074.773274904433
2013-12-01,2136.7275,2113.90509489303,2139.7498950294885,2094.2492887933217,2201.3371449344613,2094.2492887933217,2136.7275,2094.2492887933217
2014-01-01,2143.17045454545,2123.15249278499,2123.8086071507,2110.8870503373337,2189.092574227391,2110.8870503373337,2143.17045454545,2110.8870503373337
2014-02-01,2108.025,2129.30765151515,2102.3283988173666,2127.693717004,2175.549518671835,2108.025,2108.025,2108.025
2014-03-01,2053.08333333333,2101.4262626262603,2092.3061765951443,2141.1363937716765,2159.690118510805,2053.08333333333,2053.08333333333,2053.08333333333
2014-04-01,2087.0875,2082.7319444444433,2097.5327142935566,2152.6893104383435,2142.127348449076,2087.0875,2087.0875,2087.0875
2014-05-01,2097.325,2079.1652777777767,2102.985392864985,2163.533323596238,2133.174223449076,2097.325,2097.325,2097.325
2014-06-01,2106.94047619048,2097.11765873016,2103.5898075475247,2170.8637709266854,2121.5617745553773,2106.94047619048,2106.94047619048,2106.94047619048
2014-07-01,2193.23913043478,2132.501535541753,2115.715713344626,2179.5181187527724,2108.012200136238,2108.012200136238,2108.012200136238,2179.5181187527724
2014-08-01,2236.8375,2179.0057022084197,2121.0285605668482,2185.2481187527724,2103.6727746311867,2103.6727746311867,2103.6727746311867,2185.2481187527724
2014-09-01,2117.23863636364,2182.4384222661397,2123.7218596288976,2183.7774748133784,2098.9385574594703,2098.9385574594703,2098.9385574594703,2117.23863636364
2014-10-01,2034.26086956522,2129.4456686429535,2116.957910353535,2180.5536029424957,2100.9907773812556,2034.26086956522,2034.26086956522,2034.26086956522
