report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2014-000029868 Tahoe Resources Inc-f1-02274600_1-1-1,2014-11-05,,2094.389,2117.3934403069047,1902.3387086411813,2318.1781966714034,1687.2839769754576,2518.9629530359025
2014-000022850 Alexco Resource Corp-f1-02296485_1-1-1,2014-11-15,,2160.5276,2117.752840229373,1902.661605827589,2318.571677187727,1687.5703714258054,2519.3905141460805
2015-000029300 Rathdowney Resources Ltd-f1-02337292_2-2-1,2015-02-11,,2403.0358,2118.7934836867043,1903.5965555129385,2319.711001097668,1688.3996273391729,2520.6285185086317
2015-000028681 Golden Minerals Company-f1-02327135_1-1-1,2015-02-20,,1873.927,2119.6735063262267,1904.387197960287,2320.67447309899,1689.1008895943476,2521.675439871753
2015-000003353 Excellon Resources Inc-f1-02361109_1-2-1,2015-07-09,,1984.158,2121.671561831838,1906.182319385518,2322.8619969765437,1690.693076939198,2524.0524321212492
2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,1278.3184750308037,2128.5799936187987,1912.3890908594285,2330.425530345856,1696.1981881000584,2532.271067072913
2016-000012585 Americas Silver Corporation-f1-02478065_1-1-1,2016-03-18,,1873.927,2131.5842672430167,1915.0882330679126,2333.7146883643522,1698.5921988928085,2535.8451094856878
2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,2006.2042,2140.434516275241,1923.0395995898916,2343.4041744801875,1705.6446829045424,2546.3738326851344
2017-000002178 Silver Standard Resources Inc-f1-02636395_1-1-1,2016-12-31,PFS,2094.389,2146.7091483713934,1930.6141771272935,2347.6055219296222,1714.5192058831935,2548.501895487851
2017-000022850 Alexco Resource Corp-f1-02603259_1-1-1,2017-01-03,,2072.3428,2147.836918122628,1931.628421777958,2348.8388322257424,1715.419925433288,2549.840746328857
2017-000003827 Arizona Mining Inc-f1-02611788_1-1-1,2017-03-29,,2204.62,2150.532902210252,1946.1597695892947,2341.8602806834233,1741.7866369683375,2533.187659156595
2017-000005029 Darnley Bay Resources Limited-f1-02636784_2-1-1,2017-04-18,PEA,2204.62,2151.200231756115,1952.5655697521036,2347.826660669562,1753.930907748092,2544.4530895830085
2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,2072.3428,2153.8432829795665,1949.155552573429,2345.4651775113816,1744.4678221672918,2537.0870720431967
2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,2072.3428,2153.8432829795665,1949.155552573429,2345.4651775113816,1744.4678221672918,2537.0870720431967
2017-000002068 SOLITARIO ZINC CORP-f1-02657439_1-1-1,2017-07-13,,2204.62,2154.424992328851,1965.7340122119144,2344.502854657914,1777.0430320949774,2534.5807169869768
2017-000043521 VM Holding S.A-f1-02677003_1-3-2,2017-07-25,PEA,2234.64,2155.0260919897787,1966.2824657679312,2345.156987373602,1777.5388395460836,2535.2878827574255
2017-000043521 VM Holding S.A-f1-02677003_1-1-6,2017-07-26,,1933.0,2155.6472283060707,1966.8492011091487,2345.8329245131467,1778.0511739122267,2536.0186207202228
