report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2017-000008895 Katanga Mining Limited-f1-02605929_1-1-1,2016-12-31,PFS,5685.0,6243.475349764824,5262.688725713367,6675.924310732632,4281.902101661908,7108.3732717004405
2017-000003212 Taseko Mines Limited-f1-02591172_1-1-1,2017-01-16,,6613.86,6254.735834279499,5272.180302372458,6687.9647430416935,4289.624770465417,7121.193651803887
2017-000010750 Geologix Explorations Inc-f1-02587974_1-1-1,2017-01-19,PEA,5511.549999999999,6258.770450755482,5275.581121539868,6692.278813764742,4292.391792324254,7125.787176774003
2017-000020943 Strongbow Exploration Inc-f1-02585313_1-2-1,2017-02-16,,5842.243,6274.119145803031,5304.3992532278,6717.547743280869,4334.679360652569,7160.976340758708
2017-000031780 Mariana Resources Limited-f1-02593534_1-1-1,2017-03-01,,6062.705,6282.633328853966,5315.0890319996915,6717.606125211842,4347.544735145417,7152.578921569717
2017-000020880 Rosita Mining Corporation-f1-02613443_1-1-1,2017-03-06,PEA,5511.549999999999,6285.8343213713215,5317.797062109036,6721.028735734501,4349.759802846752,7156.223150097681
2017-000001691 Hudbay Minerals Inc. ( HudBay Minerals Inc.)-f1-02604944_1-1-2,2017-03-30,FS,6613.86,6295.455770698308,5324.533174674677,6733.519917054374,4353.610578651045,7171.584063410441
2017-000007875 Skeena Resources Limited-f1-02630480_1-1-1,2017-04-20,PEA,6062.705,6307.110955818644,5334.390827891629,6745.98611870891,4361.670699964613,7184.861281599176
2017-000022162 Golden Dawn Minerals Inc-f1-02592894_2-12-1,2017-05-05,PEA,5180.857,6311.719800123709,5338.288868842604,6750.915665679475,4364.857937561499,7190.11153123524
2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,6503.629,6330.470077703295,5338.800832584586,6764.444279462592,4347.131587465877,7198.418481221888
2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,6503.629,6330.470077703295,5338.800832584586,6764.444279462592,4347.131587465877,7198.418481221888
2017-000043429 Ero Copper Corp-f1-02673886_1-1-2,2017-06-01,FS,6614.0,6335.122686071181,5342.72460903772,6769.4158391844485,4350.326532004259,7203.708992297716
2017-000037111 Desert Star Resources Ltd-f1-02654496_1-1-1,2017-06-15,PFS,6062.705,6349.638870970338,5354.966831032976,6784.927155515691,4360.294791095614,7220.215440061043
2017-000037372 AuRico Metals Inc-f1-02649947_1-1-1,2017-07-14,,6613.86,6364.195080276577,5368.428971928575,6798.133688283409,4372.662863580574,7232.072296290242
