report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2017-000022850 Alexco Resource Corp-f1-02603259_1-1-1,2017-01-03,,1.2658,1.2977592934188917,1.2137543639830373,1.3469129736443746,1.129749434547183,1.3960666538698574
2017-000010750 Geologix Explorations Inc-f1-02587974_1-1-1,2017-01-19,PEA,1.34,1.2986854145737097,1.2133367025714301,1.3471319570912164,1.1279879905691506,1.395578499608723
2017-000010252 Wallbridge Mining Company Limited-f1-02592311_1-1-1,2017-02-02,PFS,1.31,1.2994313236062913,1.2145593008686721,1.3462596055864224,1.1296872781310527,1.3930878875665538
2017-000016221 Bluestone Resources Inc-f1-02597764_1-1-1,2017-02-07,,1.2821,1.2992388121709453,1.2143793632682192,1.3460601565164243,1.129519914365493,1.3928815008619033
2017-000026876 Maritime Resources Corp-f1-02611725_1-1-1,2017-03-02,,1.25,1.2999590328157355,1.216147944126239,1.3457065972783286,1.1323368554367428,1.3914541617409217
2017-000035733 Champion Iron Limited-f1-02597268_1-1-1,2017-03-17,FS,1.3158,1.2998151116873713,1.2236231486686928,1.3437960251858516,1.1474311856500143,1.3877769386843322
2017-000005029 Darnley Bay Resources Limited-f1-02636784_2-1-1,2017-04-18,PEA,1.3333,1.3001546422143428,1.2283017175668127,1.34392275757344,1.1564487929192828,1.3876908729325372
2017-000007875 Skeena Resources Limited-f1-02630480_1-1-1,2017-04-20,PEA,1.2987,1.300303966715481,1.2273218174840173,1.3434487116602685,1.1543396682525533,1.3865934566050557
2017-000022162 Golden Dawn Minerals Inc-f1-02592894_2-12-1,2017-05-05,PEA,1.3158,1.3003709053229122,1.2258001058306098,1.3417111044275718,1.1512293063383074,1.3830513035322314
2017-000008485 Rogue Resources Inc-f1-02648225_1-1-1,2017-05-23,PEA,1.3158,1.300217157722565,1.2256551750081761,1.3415524690245333,1.1510931922937873,1.3828877803265016
2017-000008263 ENCANTO POTASH CORP-f1-02653513_1-1-1,2017-05-24,,1.32,1.3000582852022058,1.225505413158328,1.3413885457747268,1.1509525411144503,1.3827188063472478
2017-000008335 Gensource Potash Corporation-f1-02649804_2-1-1,2017-05-31,,1.346,1.2997137593797958,1.2288113794315998,1.339112960942866,1.157908999483404,1.3785121625059362
2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,1.2658,1.2997137593797958,1.2288113794315998,1.339112960942866,1.157908999483404,1.3785121625059362
2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,1.3333,1.2997137593797958,1.2288113794315998,1.339112960942866,1.157908999483404,1.3785121625059362
2017-000037111 Desert Star Resources Ltd-f1-02654496_1-1-1,2017-06-15,PFS,1.33,1.2996031258679241,1.2287067812326862,1.3389989737140684,1.1578104365974484,1.3783948215602124
2017-000029214 IDM Mining Ltd. (Formerly Revolution Resources Corp.)-f1-02659565_2-1-1,2017-06-26,,1.3158,1.2993306922466241,1.2320547989761086,1.337428324472522,1.164778905705593,1.37552595669842
2017-000025296 Trek Mining Inc. ( JDL Gold Corp.)-f1-02659560_1-1-1,2017-07-10,FS,1.3671,1.2988106699998108,1.2315617021004757,1.3368930546706201,1.1643127342011406,1.3749754393414293
2017-000037372 AuRico Metals Inc-f1-02649947_1-1-1,2017-07-14,,1.3333,1.2986157024336389,1.2313768294372036,1.336692370466893,1.1641379564407683,1.374769038500147
2017-000032993 NexGen Energy Ltd-f1-02654239_2-2-1,2017-07-31,,1.25,1.2984529935253704,1.2458789631770688,1.3336810421984762,1.1933049328287673,1.368909090871582
2017-000043356 Titan Mining Corporation-f1-02662712_1-2-1,2017-08-17,,1.2821,1.2974056939364265,1.2465262662312082,1.331291609363322,1.19564683852599,1.3651775247902174
2017-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02687669_1-1-1,2017-10-05,,1.2821,1.2960482966138516,1.2447202918769045,1.3292227511131638,1.1933922871399572,1.362397205612476
2017-000024726 Critical Elements Corporation-f1-02684870_1-1-1,2017-10-20,FS,1.3333,1.2956626406493907,1.2443499092253458,1.3288272236599021,1.193037177801301,1.3619918066704135
2017-000032328 NorthIsle Copper and Gold Inc-f1-02686281_2-1-1,2017-10-24,PEA,1.3,1.2956308397821483,1.2443193677826703,1.3287946087979758,1.193007895783192,1.3619583778138036
2018-000002881 Minnova Corp-f1-02767575_1-1-1,2017-10-31,FS,1.25,1.2955979788859977,1.2442878082919053,1.3287609067739854,1.1929776376978127,1.361923834661973
2018-000027813 Nemaska Lithium Inc-f1-02732187_1-1-1,2017-11-07,FS,1.3,1.2952848904027927,1.2432595017494452,1.3278146175418666,1.1912341130960977,1.3603443446809405
2018-000037377 Alamos Gold Inc-f1-02721540_1-1-1,2017-12-01,FS,1.3333,1.2947200068702587,1.246885733811545,1.3256557069696742,1.1990514607528315,1.3565914070690896
2017-000004947 Yorbeau Resources Inc-f1-02711026_2-1-1,2017-12-06,,1.25,1.2944568420369718,1.251254707018636,1.3259184334522311,1.2080525720003001,1.3573800248674903
2018-000044644 Tacora Resources Inc-f1-02725992_1-1-1,2017-12-22,FS,1.2886,1.293716901330596,1.2506369831896227,1.3250699065809848,1.2075570650486493,1.3564229118313735
2018-000007625 Anaconda Mining Inc-f1-02737080_2-1-1,2018-01-17,PEA,1.34,1.2934171152155751,1.2502980819173912,1.324845118518601,1.2071790486192073,1.3562731218216268
2018-000005247 Deep-South Resources Inc-f1-02736873_2-1-1,2018-03-02,PEA,1.25,1.2930618503929197,1.2527212506489256,1.3225224115227956,1.2123806509049315,1.3519829726526718
2018-000008434 FRONTIER LITHIUM INC-f1-02757384_1-1-1,2018-03-02,PFS,1.25,1.2930618503929197,1.2527212506489256,1.3225224115227956,1.2123806509049315,1.3519829726526718
2018-000004884 Nevsun Resources Ltd-f1-02771114_1-1-1,2018-03-08,,1.29,1.2932815758084397,1.252929748747195,1.322754529942658,1.2125779216859502,1.3522274840768762
2018-000031738 Algold Resources Ltd-f1-02793543_2-1-1,2018-03-09,PEA,1.2775,1.2933969616687209,1.2530415344399901,1.322872545363455,1.2126861072112596,1.3523481290581894
2018-000034271 Canadian Metals Inc-f1-02782390_2-1-1,2018-03-22,PFS,1.33,1.293516193724345,1.2531570463225452,1.3229944946316121,1.2127978989207457,1.3524727955388796
2018-000000171 Harte Gold Corp-f1-02783582_2-1-1,2018-03-31,,1.25,1.2936394001818232,1.2532764086011858,1.3231205088753748,1.2129134170205484,1.3526016175689264
2020-000008434 FRONTIER LITHIUM INC-f1-03031838_1-1-1,2018-04-16,PFS,1.25,1.294108571167998,1.253089872417023,1.323155270921472,1.212071173666048,1.3522019706749457
2018-000000523 Star Diamond Corporation-f1-02780481_1-1-1,2018-04-16,PEA,1.25,1.294108571167998,1.253089872417023,1.323155270921472,1.212071173666048,1.3522019706749457
