report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2014-000004818 New Gold Inc-f1-02156614_1-1-1,2014-01-14,FS,1.0526,1.0528757907680886,1.0129216168807753,1.1262798431636512,0.9729674429934623,1.1996838955592135
2014-000004818 New Gold Inc-f1-02164189_2-1-1,2014-01-16,FS,1.05,1.0527304275444822,1.010889844729781,1.1302425663637976,0.9690492619150797,1.207754705183113
2014-000010711 DNI Metals Inc-f1-02155474_1-1-1,2014-01-17,PEA,1.05,1.0547776476266557,1.0128556984154422,1.1324405224777712,0.9709337492042287,1.2101033973288864
2014-000024639 Carlisle Goldfields Limited-f1-02197097_2-1-1,2014-02-27,PEA,1.1111,1.0654078202625434,1.0139528006687057,1.149798395829378,0.9624977810748679,1.2341889713962124
2014-000004261 Integra Gold Corp-f1-02199292_1-1-1,2014-02-28,,1.05,1.065197032681002,1.0137521933007239,1.1495709118382644,0.9623073539204459,1.2339447909955266
2014-000004686 Clifton Star Resources Inc-f1-02213823_1-1-1,2014-03-26,PFS,1.0526,1.070589264706221,1.018884001665411,1.1553902606496977,0.9671787386246011,1.2401912565931745
2014-000019932 New Millennium Iron Corp-f1-02207608_1-1-1,2014-03-27,FS,1.0,1.0703601120452049,1.0186659161792724,1.1551429568876779,0.9669717203133398,1.2399258017301509
2014-000002470 Fortune Minerals Limited-f1-02205231_1-1-1,2014-04-02,FS,1.1364,1.0712499632522516,1.0195127910626773,1.1561032928932247,0.9677756188731028,1.2409566225341975
2014-000003447 Orex Exploration Inc-f1-02197031_1-1-1,2014-04-22,,1.1111,1.0751576137979408,1.0222143195019917,1.1607594259565992,0.9692710252060428,1.2463612381152576
2014-000009674 Mustang Minerals Corp-f1-02213716_1-1-1,2014-04-30,PEA,1.111,1.0764810876854203,1.0234726224167519,1.1621882720812826,0.9704641571480835,1.2478954564771452
2014-000019932 New Millennium Iron Corp-f1-02207618_2-1-1,2014-05-01,FS,1.1111,1.0769112430690517,1.0221178599900507,1.163861090902248,0.9673244769110497,1.250810938735444
2014-000004087 Gold Bullion Development Corp-f1-02225064_1-1-1,2014-05-06,PFS,1.1111,1.0774028492217733,1.0225844531582544,1.164392389351292,0.9677660570947355,1.2513819294808108
2014-000027813 Nemaska Lithium Inc-f1-02228857_1-1-1,2014-05-13,FS,1.1111,1.0772995037454454,1.022486365913104,1.164280699757936,0.967673228080763,1.251261895770427
2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014-05-13,,1.0526,1.0772995037454454,1.022486365913104,1.164280699757936,0.967673228080763,1.251261895770427
2014-000028675 Discovery Ventures Inc-f1-02215154_1-1-1,2014-05-26,,1.1,1.079122951687648,1.0221504053693455,1.1674647512072622,0.9651778590510431,1.2558065507268763
2014-000031007 Lexam VG Gold Inc-f1-02221767_1-1-1,2014-06-05,PEA,1.1111,1.0802708148236377,1.022347271473917,1.1671130095079794,0.9644237281241962,1.2539552041923208
2014-000030613 Pretium Resources Inc-f1-02230004_2-1-1,2014-06-19,,1.087,1.0825205380730407,1.0226326095984586,1.1706345122536579,0.9627446811238765,1.2587484864342753
2014-000011411 Focus Graphite Inc-f1-02242397_1-1-1,2014-06-25,FS,1.0989,1.082767812318573,1.0228662039720537,1.170901913892362,0.9629645956255344,1.2590360154661508
2014-000034782 Minco Plc-f1-02235323_1-1-1,2014-07-10,PEA,1.1053,1.083534449378844,1.0184832325835773,1.1815571437861394,0.9534320157883107,1.2795798381934347
2014-000027138 Golden Predator Mining Corp. ( Northern Tiger Resources Inc.)-f1-02281138_1-1-1,2014-07-22,PEA,1.09,1.083613180242488,1.0174205780431045,1.1825237021999606,0.9512279758437212,1.2814342241574332
2014-000014472 ATAC Resources Ltd-f1-02257788_1-1-1,2014-07-23,PEA,1.087,1.0838059905208008,1.01760161048936,1.1827341118999255,0.9513972304579188,1.28166223327905
2014-000029214 IDM Mining Ltd. (Formerly Revolution Resources Corp.)-f1-02257635_1-1-1,2014-07-23,,1.0526,1.0838059905208008,1.01760161048936,1.1827341118999255,0.9513972304579188,1.28166223327905
2014-000008483 Alacer Gold Corp-f1-02237181_1-1-1,2014-07-29,FS,1.04,1.0843952540735,1.0181548788284112,1.1833771625111715,0.9519145035833224,1.2823590709488433
2014-000030615 Coalspur Mines Limited-f1-02240432_2-1-1,2014-07-31,FS,1.1111,1.0843060046554285,1.0180710812185445,1.1832797665453403,0.9518361577816605,1.2822535284352523
