report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2012-000005801 Exeter Resource Corporation-f1-01849096_1-1-1,2012-01-16,PFS,6062.705,6635.960577070188,5633.146642420801,7579.415447214954,4630.332707771414,8522.870317359719
2012-000008330 Queenston Mining Inc-f1-01883856_1-1-1,2012-02-16,,6613.86,6643.85033649998,5641.938060630213,7589.440130826939,4640.025784760447,8535.029925153896
2012-000025132 Coro Mining Corp-f1-01881235_1-1-1,2012-03-01,PFS,6172.936,6638.007525016676,5642.068206498516,7559.884319079968,4646.128887980356,8481.76111314326
2012-000004818 New Gold Inc-f1-01877712_2-1-1,2012-03-23,FS,6062.705,6613.347805733179,5664.292453493602,7543.672269445996,4715.237101254026,8473.996733158814
2012-000002331 Orsu Metals Corporation-f1-01880475_1-1-1,2012-03-27,FS,7163.0,6612.023748240467,5663.1584062479,7542.161951814998,4714.293064255333,8472.300155389528
2012-000029557 Yellowhead Mining Inc-f1-01882029_1-1-1,2012-03-29,FS,5511.549999999999,6612.13247793739,5663.251532576628,7542.285976926581,4714.370587215866,8472.439475915771
2012-000001691 HudBay Minerals Inc-f1-01884181_1-1-1,2012-03-29,,6062.705,6612.13247793739,5663.251532576628,7542.285976926581,4714.370587215866,8472.439475915771
2013-000029557 Yellowhead Mining Inc-f1-02012574_1-1-1,2012-03-29,FS,5511.549999999999,6612.13247793739,5663.251532576628,7542.285976926581,4714.370587215866,8472.439475915771
2012-000033030 Intergeo MMC Ltd-f1-01908033_1-3-1,2012-03-31,PEA,6062.705,6612.179535929635,5663.291837462773,7542.339654743259,4714.404138995912,8472.499773556885
2012-000016934 VMS Ventures Inc-f1-01906981_1-1-1,2012-04-02,,6062.705,6612.2333164922,5663.337900189796,7542.401000819463,4714.44248388739,8472.568685146725
2012-000033594 IMX Resources Limited-f1-01966520_4-1-1,2012-04-13,PEA,7495.708,6609.418030946042,5660.926625122769,7539.18967848636,4712.4352192994975,8468.961326026678
2012-000030669 Ivanhoe Australia Limited-f1-01915126_1-1-1,2012-04-16,,7716.17,6603.577076005832,5650.09269470522,7543.753308429232,4696.608313404608,8483.929540852632
2012-000005760 Sunridge Gold Corp-f1-01923758_4-1-1,2012-05-01,PFS,7231.1536,6618.685761939561,5658.940751164821,7557.890338527988,4699.1957403900815,8497.094915116413
2012-000030469 Cerro Resources NL-f1-01930652_2-1-1,2012-05-11,FS,7582.0,6622.3985328844965,5662.115150366677,7562.129958999964,4701.831767848858,8501.861385115433
2012-000005760 Sunridge Gold Corp-f1-01928370_5-1-1,2012-05-14,FS,7231.1536,6622.442423488233,5662.152676596961,7562.180077767021,4701.862929705689,8501.917732045811
2012-000004904 Cadillac Ventures Inc-f1-01928596_2-1-1,2012-05-15,PEA,8231.571159750421,6622.492584178217,5662.195563717285,7562.237356357945,4701.898543256352,8501.982128537673
