report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2018-000008846 Great Panther Silver Limited-f1-02795635_3-1-1,2018-07-13,,2425.082,2172.7237297619035,1987.7016316283305,2360.6255116957036,1802.6795334947572,2548.527293629504
2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,2204.62,2171.8051424054524,1986.861268188561,2359.627482945589,1801.9173939716698,2547.449823485725
"2018-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-02832441_1-1-1",2018-10-15,,1918.0194,2171.403383701469,1986.4937219513245,2359.190979292051,1801.58406020118,2546.978574882633
2018-000026264 Ascendant Resources Inc-f1-02854966_2-1-1,2018-10-22,,2403.0358,2169.9711486561096,1985.1834513920535,2357.6348815054307,1800.3957541279976,2545.298614354752
2019-000030240 Vendetta Mining Corp-f1-02885600_1-1-1,2019-01-21,PEA,2403.0358,2163.416930680433,1979.187369338065,2350.513840780988,1794.9578079956973,2537.6107508815435
2019-000032588 Toachi Mining Inc-f1-02930919_1-1-1,2019-03-30,,2160.5276,2163.1061826823993,1978.9030836305656,2350.1762186333503,1794.6999845787318,2537.246254584301
2019-000012585 Americas Silver Corporation-f1-02918824_1-1-1,2019-04-03,,1984.158,2163.065987827504,1978.866311639003,2350.1325476416796,1794.666635450502,2537.1991074558555
2019-000008916 Tinka Resources Limited-f1-02937617_2-2-1,2019-07-02,,2094.389,2160.813949025683,1976.8060491493213,2347.6857477213375,1792.7981492729596,2534.5575464169915
2020-000026264 Ascendant Resources Inc-f1-03022181_1-1-1,2019-12-19,,2314.851,2150.317847003669,1967.20376109534,2336.2819204113453,1784.089675187011,2522.2459938190214
"2020-000043521 Nexa Resources S.A. (, VM Holding S.A.)-f1-03026212_1-1-1",2019-12-31,,2006.2042,2148.3799813375267,1965.430917777202,2334.1764639894946,1782.4818542168775,2519.972946641462
2020-000048037 Tethyan Resource Corp-f1-03084677_1-1-1,2020-04-30,PEA,2000.0,2138.180500239219,1956.099991372173,2323.0949100132957,1774.0194825051271,2508.009319787373
2020-000021551 ScoZinc Mining Ltd-f1-03088581_2-1-1,2020-07-06,PFS,1984.158,2135.03363741625,1953.2211051695485,2319.675899782059,1771.4085729228473,2504.318162147868
2020-000023055 Rockhaven Resources Ltd-f1-03086606_1-1-1,2020-07-10,PEA,2094.389,2133.12306466619,1951.4732305913783,2317.6000966258816,1769.8233965165664,2502.0771285855726
2020-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-03119913_1-1-1,2020-08-20,FS,2204.62,2119.5507565221415,1939.056696140473,2302.854026327773,1758.5626357588046,2486.157296133405
2021-000031923 Rokmaster Resources Corp-f1-03163135_1-1-1,2020-12-08,,2006.2042,2114.818827788809,1934.7277230938055,2297.7128703057624,1754.636618398802,2480.6069128227164
2021-000043356 Titan Mining Corporation-f1-03191352_2-1-1,2021-02-24,PEA,1918.0194,2117.8489260915057,1937.4997880635772,2301.0050179719897,1757.1506500356488,2484.1611098524736
