report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,1895.9732,2123.529829287295,1870.3474900637298,2574.1575242725157,1617.1651508401646,3024.7852192577366
2014-000002470 Fortune Minerals Limited-f1-02236003_2-1-1,2014-04-18,,2204.62,2119.2700312119005,1866.595575431494,2568.9937676271293,1613.9211196510873,3018.717504042358
2014-000025411 Xtierra Inc-f1-02198936_1-1-1,2014-04-28,,2028.2504,2118.056186127886,1865.5264535972249,2567.522336233408,1612.9967210665639,3016.98848633893
2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014-05-13,,2204.62,2116.668934603298,1871.280883231356,2563.6190952318934,1625.892831859414,3010.5692558604887
2014-000000204 GoldQuest Mining Corp-f1-02232713_1-1-1,2014-05-27,,2094.389,2118.7578709561503,1873.1276466053891,2566.149125807459,1627.4974222546282,3013.5403806587674
2014-000001767 Dundee Precious Metals Inc-f1-02266641_3-1-1,2014-09-30,,1873.927,2122.6978332703975,1881.474987305074,2543.16237347679,1640.2521413397503,2963.6269136831825
2014-000029868 Tahoe Resources Inc-f1-02274600_1-1-1,2014-11-05,,1984.158,2124.2816865756927,1882.8788519205486,2545.059956857712,1641.4760172654046,2965.8382271397318
2014-000022850 Alexco Resource Corp-f1-02296485_1-1-1,2014-11-15,,2204.62,2124.412094162696,1882.9944400222823,2545.216195613547,1641.5767858818685,2966.0202970643977
2015-000029300 Rathdowney Resources Ltd-f1-02337292_2-2-1,2015-02-11,,2204.62,2127.512916004515,1891.6627666258055,2527.455522193289,1655.812617247096,2927.3981283820635
2015-000028681 Golden Minerals Company-f1-02327135_1-1-1,2015-02-20,,2094.389,2128.1049277956363,1892.1891496405656,2528.158823902725,1656.273371485495,2928.2127200098143
2015-000003353 Excellon Resources Inc-f1-02361109_1-2-1,2015-07-09,,2204.62,2153.3041273250865,1912.2309080202463,2538.987075395556,1671.1576887154063,2924.6700234660257
2016-000012585 Americas Silver Corporation-f1-02478065_1-1-1,2016-03-18,,1873.927,2311.041657236917,2051.6523618231568,2674.0924352483376,1792.2630664093958,3037.143213259758
2016-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02500830_2-1-1,2016-04-28,,2204.62,2349.220318652893,2085.5458836556377,2718.2687352992984,1821.8714486583822,3087.3171519457037
2016-000018190 Chesapeake Gold Corp-f1-02451974_1-2-1,2016-04-29,PFS,2204.62,2354.996363222354,2090.6736300317452,2724.9521618141275,1826.3508968411363,3094.9079604059016
2016-000033595 Ivanhoe Mines Ltd-f1-02490485_3-1-1,2016-05-12,,2227.0,2361.5975570160235,2096.5339116044397,2732.5903635453615,1831.4702661928554,3103.5831700746994
