report_id,effective_date,report_type,au_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,975.0,872.532313627915,725.5817497390377,1001.3224693044986,578.6311858501604,1130.112624981082
2010-000004818 New Gold Inc-f1-01544679_1-1-1,2009-12-31,,800.0,880.215992598282,730.6061291765607,1004.6167523123872,580.9962657548392,1129.0175120264926
2010-000002968 Kinross Gold Corporation-f1-01528409_1-1-1,2009-12-31,,875.0,880.215992598282,730.6061291765607,1004.6167523123872,580.9962657548392,1129.0175120264926
2010-000003272 Société d_exploration minière Vior Inc-f1-01528825_1-1-1,2010-01-22,,886.18509292968,888.5708767874688,740.1984081552791,1000.6286903489461,591.8259395230896,1112.6865039104232
2010-000003165 Nayarit Gold Inc-f1-01537159_1-1-1,2010-02-01,,900.0,891.1446218211959,743.5156944289888,1014.3276659891673,595.8867670367819,1137.5107101571386
2010-000021049 Wescan Goldfields Inc-f1-01546365_1-1-1,2010-02-04,,1000.0,892.4949543948015,744.6423280152666,1015.8646552209436,596.7897016357316,1139.2343560470856
2010-000002968 Kinross Gold Corporation-f1-01592433_2-2-1,2010-02-18,FS,800.0,893.2507750053729,738.8784592464324,1010.9400960875641,584.506143487492,1128.6294171697555
2010-000016244 Mandalay Resources Corporation-f1-01582539_3-1-1,2010-03-01,,1000.0,893.815344683284,739.6686506523654,1017.3715745876733,585.5219566214469,1140.9278044920627
2010-000006065 Victoria Gold Corp. ( Victoria Resource Corporation)-f1-01549183_1-1-1,2010-03-05,,900.0,894.5896861530673,740.3094497989741,1018.2529568609449,586.029213444881,1141.9162275688225
2010-000008502 Entree Gold Inc-f1-01595887_2-1-1,2010-03-30,PFS,850.0,909.9495192080611,762.8261113330823,1047.2543539605533,615.7027034581034,1184.5591887130456
2010-000006221 Fortuna Silver Mines Inc-f1-01595645_1-1-1,2010-03-31,,897.51,911.8018030513823,764.378912286827,1049.3861341074094,616.9560215222716,1186.9704651634363
