report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2019-000040502 Adventus Mining Corporation-f1-02931067_1-1-1,2019,2019-05-02,Adventus Mining Corporation,PEA,2,zinc_concentrate,zinc,230,,,,,,53.8,,,,,,,
2020-000021551 ScoZinc Mining Ltd-f1-03088581_2-1-1,2020,2020-07-06,ScoZinc Mining Ltd,PFS,1,zinc_concentrate,zinc,245,,,,,,58.06,,,8,,85,,
2020-000023055 Rockhaven Resources Ltd-f1-03086606_1-1-1,2020,2020-07-10,Rockhaven Resources Ltd,PEA,2,zinc_concentrate,zinc,170,,,,,,48,1318,13.5,,,85,70,70
2020-000027371 Auryn Resources Inc-f1-03065923_1-1-1,2020,2020-05-29,Auryn Resources Inc,PEA,2,lead_zinc_concentrate,zinc,140,,,,,,,17310,524,,,,95,95
2020-000033002 Wolfden Resources Corporation-f1-03112624_1-2-1,2020,2020-09-14,Wolfden Resources Corporation,PEA,3,zinc_concentrate,zinc,,,,,,,55.7,36,0.32,20,,85,,
2020-000036883 Fabled Copper Corp-f1-03148081_1-1-1,2020,2020-12-02,Fabled Copper Corp,PEA,2,zinc_concentrate,zinc,,,,,,,49.16,,,,,,,
2020-000050542 Adriatic Metals plc-f1-03121124_1-1-1,2020,2020-04-30,Adriatic Metals plc,PEA,2,zinc_concentrate,zinc,230,,,,,0.4,53,320,5.1,9,,85,,
2020-000050542 Adriatic Metals plc-f1-03121124_1-1-1,2020,2020-04-30,Adriatic Metals plc,PEA,6,zinc_concentrate,zinc,,,,,,,57.84,,,9,,84.8,,
2021-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-03157999_1-1-1,2021,2020-08-31,Sierra Metals Inc. ( Dia Bras Exploration Inc.),PEA,2,zinc_concentrate,zinc,,,,,,,45,,,,,,,
2021-000008301 Trevali Mining Corporation-f1-03263578_1-1-1,2021,2021-03-31,Trevali Mining Corporation,FS,1,zinc_concentrate,zinc,214.8,,,,,,51.1,,,9,,85,,
2021-000008433 Metallum Resources Inc-f1-03288400_1-1-1,2021,2021-09-15,Metallum Resources Inc,FS,1,zinc_concentrate,zinc,136.1779392,,,,,,52,,,10,,90,,
2021-000021551 ScoZinc Mining Ltd-f1-03323064_2-1-1,2021,2021-11-16,ScoZinc Mining Ltd,PFS,1,zinc_concentrate,zinc,190,,,,,,58.06,,,10,,85,,
2021-000022850 Alexco Resource Corp-f1-03228258_1-1-1,2021,2021-04-01,Alexco Resource Corp,PFS,2,zinc_concentrate,zinc,220,,,,,,52.8,750,,6,,85,70,
2021-000025928 Excelsior Mining Corp-f1-03277590_1-2-1,2021,2021-09-09,Excelsior Mining Corp,PEA,2,zinc_concentrate,zinc,,,,,,,8.2,,,,,,,
2021-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-03212353_1-1-1,2021,2021-03-18,Falco Resources Ltd. ( Falco Pacific Resource Group Inc.),FS,2,zinc_concentrate,zinc,,,,,,,52,,,8.7,,84.5,85.9,97.2
2021-000031522 Rockcliff Metals Corporation-f1-03163342_1-1-1,2021,2021-01-12,Rockcliff Metals Corporation,PEA,2,zinc_concentrate,zinc,299.75,,,,,1.94,51.8,,,,,85,90,90
2021-000037111 Kutcho Copper Corp. ( Desert Star Resources Ltd.)-f1-03321014_1-1-1,2021,2021-11-08,Kutcho Copper Corp. ( Desert Star Resources Ltd.),FS,2,zinc_concentrate,zinc,200,,,,,1.19,55.8,109,2.89,9,0,84.9,4,65
2021-000040502 Adventus Mining Corporation-f1-03316924_1-1-1,2021,2021-10-26,Adventus Mining Corporation,FS,2,zinc_concentrate,zinc,220,,,,,,56.32,340.11,8.14,10,,85,75,75
2022-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-03346722_1-1-1,2022,2021-03-31,Sierra Metals Inc. ( Dia Bras Exploration Inc.),PEA,3,zinc_concentrate,zinc,130,,,0.5,,1.9,49.9,93.1,0.5,8,,85,70,
2022-000003467 Aurcana Silver Corporation-f1-03355520_1-1-1,2022,2021-12-31,Aurcana Silver Corporation,FS,2,zinc_concentrate,zinc,175.0028936,,,,,0.2,56,400,,10,,85,75,75
2022-000005208 Altaley Mining Corporation-f1-03371916_1-1-1,2022,2022-02-23,Altaley Mining Corporation,PFS,2,zinc_concentrate,zinc,215,,,,,,62,100,,,,85,,
2022-000022452 Envirogold Global Limited-f1-03447441_1-1-1,2022,2022-09-30,Envirogold Global Limited,PEA,1,zinc_concentrate,zinc,,,,,,,47.5,,,,,95,,
2022-000031522 Rockcliff Metals Corporation-f1-03340402_1-1-1,2022,2022-02-01,Rockcliff Metals Corporation,PEA,2,zinc_concentrate,zinc,339.92,,,,,,51.8,,,,,85,,
2022-000032649 Bunker Hill Mining Corp-f1-03446457_1-1-1,2022,2022-08-29,Bunker Hill Mining Corp,PFS,2,zinc_concentrate,zinc,271.1354354,,,,,,58,,,8,,85,,
2022-000033595 Ivanhoe Mines Ltd-f1-03347041_1-1-1,2022,2022-02-14,Ivanhoe Mines Ltd,FS,1,zinc_concentrate,zinc,208.7912088,,,,,,54.79,,,9,,85,,
2022-000040073 Kuya Silver Corporation-f1-03400179_2-1-1,2022,2022-04-09,Kuya Silver Corporation,PEA,2,zinc_concentrate,zinc,399.739152,,,,,0.65,50,5.12,2.1,9,,85,,
2022-000043356 Titan Mining Corporation-f1-03353194_1-1-1,2022,2021-02-24,Titan Mining Corporation,PEA,1,zinc_concentrate,zinc,210,,,,,,59,,,8.5,,85,,
2023-000003353 Excellon Resources Inc-f1-03481561_1-1-1,2023,2022-03-31,Excellon Resources Inc,PEA,2,zinc_concentrate,zinc,150,,,,,,49.2,156,,12.2,,85,70,
2023-000020073 CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.)-f1-03518451_1-1-1,2023,2023-01-31,CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.),PEA,1,zinc_concentrate,zinc,200,,,,,0.33,50.85,13.83,,8.6,,92,,
2023-000026264 Ascendant Resources Inc-f1-06003352_1-1-1,2023,2023-07-24,Ascendant Resources Inc,FS,2,zinc_concentrate,zinc,184.9462366,,,0.4,5,,35,,,7,,85,65,90
2023-000028681 Golden Minerals Company-f1-06026625_2-1-1,2023,2023-06-01,Golden Minerals Company,PEA,2,zinc_concentrate,zinc,375,,,,,,50.26,548.88,,11,,85,70,
2023-000030584 Atalaya Mining plc-f1-03508573_1-1-1,2023,2022-10-31,Atalaya Mining plc,PEA,2,zinc_concentrate,zinc,0.33,,,,,,49.9,,,,,,,
2023-000033050 Trilogy Metals Inc-f1-03491294_1-1-1,2023,2023-01-20,Trilogy Metals Inc,FS,3,zinc_concentrate,zinc,215,,,,,,53.7,,,6,,85,70,
