report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2025-000005247 Koryx Copper Inc. ( Deep-South Resources Inc.)-f1-06345472_1-1-1,2025,2025-09-04,Koryx Copper Inc. ( Deep-South Resources Inc.),PEA,1,copper_concentrate,copper,60,0.06,,,,21,,,,10,97.5,,,
2025-000008811 Foran Mining Corporation-f1-06252011_1-1-1,2025,2024-11-16,Foran Mining Corporation,FS,1,copper_concentrate,copper,30,0.03,,0.45,5,28.1,,227,9.2,9,98,,90,98
2025-000020943 Cornish Metals Inc-f1-06343317_1-3-1,2025,2025-09-29,Cornish Metals Inc,PEA,2,copper_concentrate,copper,,,,,,,,,,,,,,
2025-000025425 Blue Moon Metals Inc-f1-06337712_3-1-1,2025,2025-03-03,Blue Moon Metals Inc,PEA,2,copper_concentrate,copper,30,0.03,,0.5,5,26.5,7.02,484,8.42,8,96.5,,90,96
2025-000027022 Barrick North America Finance LLC-f1-06241783_1-1-2,2025,2024-12-31,Barrick North America Finance LLC,FS,1,copper_concentrate,copper,85,0.09,,,6,27,,35,9,8,96.5,,,94
2025-000029249 GoGold Resources Inc-f1-06247278_1-1-1,2025,2025-01-14,GoGold Resources Inc,FS,1,copper_concentrate,copper,,,,,,61,10,,,50,70,,,
2025-000029999 St. Augustine Gold and Copper Limited-f1-06316071_1-1-1,2025,2025-07-10,St. Augustine Gold and Copper Limited,PFS,1,copper_concentrate,copper,70,0.07,,,5,25,,,39.4,10,96.5,,92,97.5
2025-000030394 US Copper Corp-f1-06225836_1-1-1,2025,2024-12-16,US Copper Corp,PEA,1,copper_concentrate,copper,96.9064611,0.08,,0.3,,25.5,,,,9,99,,90,98
2025-000032328 NorthIsle Copper and Gold Inc-f1-06266759_1-1-1,2025,2025-02-12,NorthIsle Copper and Gold Inc,PEA,1,copper_concentrate,copper,48.95447234,0.048954472,,,4.475837471,22.4,,22.8,15.1,9,96.5,,,97.5
2025-000033050 Trilogy Metals Inc-f1-06240435_1-1-1,2025,2025-01-15,Trilogy Metals Inc,PEA,1,copper_concentrate,copper,80,0.08,,,,29.5,1.16,,,6,96.5,,,
2025-000039579 BMC Minerals Ltd-f1-06266600_1-1-1,2025,2025-03-01,BMC Minerals Ltd,FS,1,copper_concentrate,copper,,,,,,25,,,,9,,,,
2025-000040264 Meridian Mining UK Societas-f1-1_1-.pdf (df544cd50a3c82ad),2025,2025-03-10,Meridian Mining UK Societas,PFS,1,copper_gold_concentrate,copper,70,0.07,,0.5,5,24.8,0.746,59,12.7,7.5,95.97,,97,98
2025-000044770 Xanadu Mines Ltd-f1-06229361_1-1-1,2025,2025-01-13,Xanadu Mines Ltd,PFS,1,copper_gold_concentrate,copper,75,0.075,,,4.5,21.714,,,12.7295,8,96.5,,,97
2025-000050838 Railtown Capital Corp-f1-06349033_1-1-1,2025,2025-07-15,Railtown Capital Corp,PEA,1,copper_concentrate,copper,75,0.075,,,,65,,,,8,96.5,,,
2025-000053244 Canadian Copper Inc-f1-06307870_1-1-1,2025,2025-07-07,Canadian Copper Inc,PEA,2,copper_concentrate,copper,65,0.065,,,,22,,,,8,96.5,,90,
2025-000053528 Hot Chili Limited-f1-06283329_1-1-1,2025,2025-03-27,Hot Chili Limited,PFS,1,copper_concentrate,copper,54.5,0.0545,,0.48,4.75,25.6,,23.1,3.82,8,96,,90,92
2025-000106960 Cygnus Metals Limited-f2-1_1-.pdf (d9b45b1f65d8bd88),2025,2025-01-01,Cygnus Metals Limited,PEA,1,copper_concentrate,copper,70,0.07,,,6,,,,,8,96.5,,,95
